Ticker,ETF_Ticker,ETF_Name,Category,Expense_Ratio,Weightage
MMM,DJD,Invesco Dow Jones Industrial Average Dividend ETF,Large Cap Blend Equities,0.07,4.44
MMM,SCHD,Schwab US Dividend Equity ETF,Large Cap Blend Equities,0.06,3.47
MMM,DIA,SPDR Dow Jones Industrial Average ETF Trust,Large Cap Growth Equities,0.16,3.33
MMM,XLI,Industrial Select Sector SPDR Fund,Industrials Equities,0.12,3.29
MMM,VSDA,VictoryShares Dividend Accelerator ETF,Large Cap Growth Equities,0.35,3.17
MMM,VSMV,VictoryShares US Multi-Factor Minimum Volatility ETF,Volatility Hedged Equity,0.35,3.06
MMM,DHS,WisdomTree US High Dividend Fund,Large Cap Value Equities,0.38,2.91
MMM,GBDV,Global Beta Smart Income ETF,Large Cap Value Equities,0.29,2.88
MMM,VIRS,Pacer BioThreat Strategy ETF,Large Cap Growth Equities,0.7,2.87
MMM,SIXA,6 Meridian Mega Cap Equity ETF,Large Cap Blend Equities,0.86,2.67
ABT,IHI,iShares U.S. Medical Devices ETF,Health & Biotech Equities,0.41,12.9
ABT,IEHS,iShares Evolved U.S. Healthcare Staples ETF,Health & Biotech Equities,0.18,7.94
ABT,PJP,Invesco Dynamic Pharmaceuticals ETF,Health & Biotech Equities,0.58,6.15
ABT,VIRS,Pacer BioThreat Strategy ETF,Large Cap Growth Equities,0.7,5.09
ABT,HART,IQ Healthy Hearts ETF,Health & Biotech Equities,0.45,5.09
ABT,PINK,Simplify Health Care ETF,Health & Biotech Equities,0.5,4.95
ABT,APXH,Apex Healthcare ETF,N/A,0.9,4.75
ABT,XLV,Health Care Select Sector SPDR Fund,Health & Biotech Equities,0.12,4.46
ABT,MBCC,Monarch Blue Chips Core ETF,N/A,1.25,4.24
ABT,IYH,iShares U.S. Healthcare ETF,Health & Biotech Equities,0.43,4.11
ABMD,KONG,Formidable Fortress ETF,Volatility Hedged Equity,0.89,3.22
ABMD,BMED,Future Health ETF,Health & Biotech Equities,0.85,2.13
ABMD,BTEC,Principal Healthcare Innovators ETF,Health & Biotech Equities,0.42,1.9
ABMD,HTEC,ROBO Global Healthcare Technology and Innovation ETF,Health & Biotech Equities,0.68,1.48
ATVI,HERO,Global X Video Games & Esports ETF,Large Cap Growth Equities,0.5,4.46
ATVI,ESPO,VanEck Video Gaming and eSports ETF,Large Cap Growth Equities,0.55,4.4
ATVI,PSJ,Invesco Dynamic Software ETF,All Cap Equities,0.56,4.35
ATVI,NERD,Roundhill BITKRAFT Esports & Digital Entertainment ETF,Global Equities,0.25,3.89
ATVI,XLC,Communication Services Select Sector SPDR Fund,Large Cap Growth Equities,0.12,3.57
ATVI,KONG,Formidable Fortress ETF,Volatility Hedged Equity,0.89,3.55
ATVI,VPOP,Simplify Volt Pop Culture Disruption ETF,Technology Equities,0.95,3.04
ATVI,IEME,iShares Evolved U.S. Media and Entertainment ETF,All Cap Equities,0.18,2.89
ATVI,IGV,iShares Expanded Tech-Software Sector ETF,Technology Equities,0.43,1.86
ATVI,VOX,Vanguard Communication Services ETF,Large Cap Growth Equities,0.1,1.55
ADBE,PNQI,Invesco NASDAQ Internet ETF,Large Cap Growth Equities,0.6,8.27
ADBE,IGV,iShares Expanded Tech-Software Sector ETF,Technology Equities,0.43,8.01
ADBE,DEMZ,Democratic Large Cap Core ETF,Large Cap Blend Equities,0.45,4.35
ADBE,NWLG,Nuveen Winslow Large-Cap Growth ESG ETF,N/A,0.64,4.3
ADBE,XPND,First Trust Expanded Technology ETF,N/A,0.65,4.27
ADBE,MBCC,Monarch Blue Chips Core ETF,N/A,1.25,4.07
ADBE,PGRO,Putnam Focused Large Cap Growth ETF,N/A,0.55,3.72
ADBE,MRAD,SmartETFs Advertising & Marketing Technology ETF,Technology Equities,0.68,3.71
ADBE,AVDG,AVDR U.S. LargeCap ESG ETF,Large Cap Growth Equities,0.6,3.48
ADBE,SPHQ,Invesco S&P 500® Quality ETF,Large Cap Growth Equities,0.15,3.38
AMD,ESPO,VanEck Video Gaming and eSports ETF,Large Cap Growth Equities,0.55,8.88
