Ticker,Year,Total_Revenue,Cost_of_Revenue,Gross_Profit,Operating_Expense,Operating_Income,Net_Non_Operating_Interest_Income_Expense,Other_Income_Expense,Pretax_Income,Tax_Provision
MMM,2021.0,35326000.0,18485000.0,16841000.0,9066000.0,7775000.0,-488000.0,-113000.0,7287000.0,1360000.0
MMM,2020.0,32184000.0,16605000.0,15579000.0,8757000.0,6822000.0,-500000.0,389000.0,6711000.0,1318000.0
MMM,2019.0,32136000.0,17136000.0,15000000.0,8872000.0,6128000.0,-368000.0,-48000.0,5712000.0,1130000.0
MMM,2018.0,32765000.0,16682000.0,16083000.0,9350000.0,6733000.0,-280000.0,547000.0,7000000.0,1637000.0
MMM,2017.0,31657000.0,16001000.0,15656000.0,8422000.0,7234000.0,-272000.0,586000.0,7548000.0,2679000.0
ABT,2021.0,42308000.0,18264000.0,24044000.0,15565000.0,8479000.0,-497000.0,290000.0,8272000.0,1032000.0
ABT,2020.0,34608000.0,15003000.0,19605000.0,14248000.0,5357000.0,-500000.0,111000.0,4968000.0,497000.0
ABT,2019.0,31904000.0,13231000.0,18673000.0,14141000.0,4532000.0,-576000.0,121000.0,4077000.0,390000.0
ABT,2018.0,30578000.0,12706000.0,17872000.0,14222000.0,3650000.0,-721000.0,-56000.0,2873000.0,539000.0
ABT,2017.0,27390000.0,12337000.0,15053000.0,13327000.0,1726000.0,-780000.0,1285000.0,2231000.0,1878000.0
ABMD,2021.0,973635.0,176262.0,797373.0,536577.0,260796.0,,-48646.0,212150.0,62998.0
ABMD,2021.0,847522.0,161907.0,685615.0,456058.0,229557.0,,58663.0,288220.0,62695.0
ABMD,2020.0,840883.0,151305.0,689578.0,440359.0,249219.0,,7606.0,256825.0,53816.0
ABMD,2019.0,769432.0,129567.0,639865.0,415053.0,224812.0,,38548.0,263360.0,4344.0
ABMD,2018.0,593749.0,98581.0,495168.0,338031.0,157137.0,,3300.0,160437.0,48267.0
ATVI,2021.0,9052000.0,2476000.0,6576000.0,3302000.0,3274000.0,-103000.0,-82000.0,3089000.0,445000.0
ATVI,2020.0,8086000.0,2260000.0,5826000.0,2998000.0,2828000.0,-78000.0,-134000.0,2616000.0,419000.0
ATVI,2019.0,6489000.0,2094000.0,4395000.0,2656000.0,1739000.0,-11000.0,-95000.0,1633000.0,130000.0
ATVI,2018.0,7500000.0,2517000.0,4983000.0,2995000.0,1988000.0,-71000.0,-40000.0,1877000.0,64000.0
ATVI,2017.0,7017000.0,2501000.0,4516000.0,3207000.0,1309000.0,-146000.0,-12000.0,1151000.0,878000.0
ADBE,2021.0,15099000.0,1786000.0,13313000.0,7797000.0,5516000.0,-69000.0,-13000.0,5434000.0,-405000.0
ADBE,2020.0,12868000.0,1722000.0,11146000.0,6909000.0,4237000.0,-73000.0,12000.0,4176000.0,-1084000.0
ADBE,2019.0,11171297.0,1672720.0,9498577.0,6230456.0,3268121.0,-88893.0,25513.0,3204741.0,253283.0
ADBE,2018.0,9030008.0,1194999.0,7835009.0,4994640.0,2840369.0,3298.0,-49791.0,2793876.0,203102.0
ADBE,2017.0,7301505.0,1010491.0,6291014.0,4122919.0,2168095.0,-8333.0,-22121.0,2137641.0,443687.0
AMD,2021.0,14852000.0,7898000.0,6954000.0,3943000.0,3011000.0,-27000.0,28000.0,3012000.0,-948000.0
AMD,2020.0,9763000.0,5416000.0,4347000.0,2978000.0,1369000.0,-39000.0,-55000.0,1275000.0,-1210000.0
AMD,2019.0,6731000.0,3863000.0,2868000.0,2237000.0,631000.0,-79000.0,-180000.0,372000.0,31000.0
AMD,2018.0,6475000.0,4028000.0,2447000.0,1996000.0,451000.0,-103000.0,-18000.0,330000.0,-9000.0
AMD,2017.0,5329000.0,3506000.0,1823000.0,1619000.0,204000.0,-120000.0,-15000.0,69000.0,19000.0
AFL,2021.0,22541000.0,,,,,,,5307000.0,1069000.0
AFL,2020.0,22116000.0,,,,,,,4159000.0,-619000.0
AFL,2019.0,22223000.0,,,,,,,4445000.0,1141000.0
AFL,2018.0,21689000.0,,,,,,,3983000.0,1063000.0
