Ticker,Headline,Article Link
MMM,"  3M Co. stock rises Friday, outperforms market",https://www.marketwatch.com/story/3m-co-stock-rises-friday-outperforms-market-01636752700-3669fa2ac10b?mod=mw_quote_news
MMM,"  3M Co. stock falls Thursday, underperforms market",https://www.marketwatch.com/story/3m-co-stock-falls-thursday-underperforms-market-01636666297-044d6b868bd2?mod=mw_quote_news
MMM,  3M Co. stock outperforms competitors on strong trading day,https://www.marketwatch.com/story/3m-co-stock-outperforms-competitors-on-strong-trading-day-01636579898-6bccb6eaec11?mod=mw_quote_news
MMM,  3M Co. stock outperforms market despite losses on the day,https://www.marketwatch.com/story/3m-co-stock-outperforms-market-despite-losses-on-the-day-01636493498-570265591db2?mod=mw_quote_news
MMM,  3M Co. stock outperforms competitors despite losses on the day,https://www.marketwatch.com/story/3m-co-stock-outperforms-competitors-despite-losses-on-the-day-01636403514-6b1714da6b9f-abf81b70d4dc?mod=mw_quote_news
ABT,"  Abbott Laboratories stock rises Friday, outperforms market",https://www.marketwatch.com/story/abbott-laboratories-stock-rises-friday-outperforms-market-01636752803-350a86f97435?mod=mw_quote_news
ABT,"  Abbott Laboratories stock falls Thursday, underperforms market",https://www.marketwatch.com/story/abbott-laboratories-stock-falls-thursday-underperforms-market-01636666403-1df812176acb?mod=mw_quote_news
ABT,"  Abbott Laboratories stock rises Wednesday, outperforms market",https://www.marketwatch.com/story/abbott-laboratories-stock-rises-wednesday-outperforms-market-01636580004-9e3367d26608?mod=mw_quote_news
ABT,  Abbott Laboratories stock outperforms market despite losses on the day,https://www.marketwatch.com/story/abbott-laboratories-stock-outperforms-market-despite-losses-on-the-day-01636493602-f6d0f6b54d86?mod=mw_quote_news
ABT,  Abbott Laboratories stock outperforms competitors on strong trading day,https://www.marketwatch.com/story/abbott-laboratories-stock-rises-monday-outperforms-market-01636403619-d60c025c928d-b2347b1cded1?mod=mw_quote_news
ABMD,"  Abiomed Inc. stock rises Friday, outperforms market",https://www.marketwatch.com/story/abiomed-inc-stock-rises-friday-outperforms-market-01636752774-4a579e746429?mod=mw_quote_news
ABMD,  Abiomed Inc. stock outperforms competitors on strong trading day,https://www.marketwatch.com/story/abiomed-inc-stock-outperforms-competitors-on-strong-trading-day-01636666367-32fdaa644f6a?mod=mw_quote_news
ABMD,"  Abiomed Inc. stock falls Wednesday, underperforms market",https://www.marketwatch.com/story/abiomed-inc-stock-falls-wednesday-underperforms-market-01636579968-07e82b29f78e?mod=mw_quote_news
ABMD,"  Abiomed Inc. stock rises Tuesday, outperforms market",https://www.marketwatch.com/story/abiomed-inc-stock-rises-tuesday-outperforms-market-01636493569-39c008590fe6?mod=mw_quote_news
ABMD,"  Abiomed Inc. stock falls Monday, underperforms market",https://www.marketwatch.com/story/abiomed-inc-stock-falls-monday-underperforms-market-01636403584-e3bf26dd22fc-f3de6b78b657?mod=mw_quote_news
ATVI,"  Activision Blizzard Inc. stock rises Friday, outperforms market",https://www.marketwatch.com/story/activision-blizzard-inc-stock-rises-friday-outperforms-market-01636753104-606b4933a305?mod=mw_quote_news
ATVI,  Activision Blizzard Inc. stock outperforms market on strong trading day,https://www.marketwatch.com/story/activision-blizzard-inc-stock-outperforms-market-on-strong-trading-day-01636666704-966320e3591c?mod=mw_quote_news
ATVI,  Activision Blizzard Inc. stock outperforms market despite losses on the day,https://www.marketwatch.com/story/activision-blizzard-inc-stock-outperforms-market-despite-losses-on-the-day-01636580304-e3f24e059821?mod=mw_quote_news
ATVI,"  Activision Blizzard Inc. stock rises Tuesday, outperforms market",https://www.marketwatch.com/story/activision-blizzard-inc-stock-rises-tuesday-outperforms-market-01636493908-afd47ea824bd?mod=mw_quote_news
ATVI,  Activision Blizzard Inc. stock underperforms Monday when compared to competitors,https://www.marketwatch.com/story/activision-blizzard-inc-stock-underperforms-monday-when-compared-to-competitors-01636407510-c82fa28db4ac?mod=mw_quote_news
ADBE,"  Adobe Inc. stock rises Friday, outperforms market",https://www.marketwatch.com/story/adobe-inc-stock-rises-friday-outperforms-market-01636752830-02120cfc1ebf?mod=mw_quote_news
ADBE,  Adobe Inc. stock underperforms Thursday when compared to competitors,https://www.marketwatch.com/story/adobe-inc-stock-underperforms-thursday-when-compared-to-competitors-01636666429-980a7f462c69?mod=mw_quote_news
ADBE,  Adobe Inc. stock underperforms Wednesday when compared to competitors,https://www.marketwatch.com/story/adobe-inc-stock-underperforms-wednesday-when-compared-to-competitors-01636580028-fb807d3e527f?mod=mw_quote_news
ADBE,"  Adobe Inc. stock rises Tuesday, outperforms market",https://www.marketwatch.com/story/adobe-inc-stock-rises-tuesday-outperforms-market-01636493632-3fd3efbd1b00?mod=mw_quote_news
ADBE,  Online Sales Are Up at the Start of the Holiday Season. Shoppers Find Shortages.,https://www.marketwatch.com/articles/online-sales-are-up-at-the-start-of-the-holiday-season-shoppers-find-shortages-51636394961?mod=mw_quote_news
AMD,Opinion: These are the next three mega-cap tech stocks you’ll be hearing more about,https://www.marketwatch.com/story/these-are-the-next-three-mega-cap-tech-stocks-youll-be-hearing-more-about-11636392083?mod=mw_quote_news
AMD,  These 25 semiconductor stocks could rise as much as 43% with chips in short supply,https://www.marketwatch.com/story/these-25-semiconductor-stocks-could-rise-as-much-as-43-with-chips-in-short-supply-11636476231?mod=mw_quote_news
AMD,  Advanced Micro Devices Inc. stock outperforms market on strong trading day,https://www.marketwatch.com/story/advanced-micro-devices-inc-stock-outperforms-market-on-strong-trading-day-01636752972-d7f06e53ba7c?mod=mw_quote_news
AMD,  Largest cryptocurrencies fall as Polkadot tumbles,https://www.marketwatch.com/story/largest-cryptocurrencies-fall-as-polkadot-tumbles-01636729261-3da41f5c02f6?mod=mw_quote_news
AMD,"  U.S. stocks end mostly higher as tech shares recover, but Disney fall weighs on Dow",https://www.marketwatch.com/story/wall-street-stocks-poised-for-a-rebound-led-by-battered-tech-sector-11636629367?mod=mw_quote_news
AFL,  AFLAC Inc. stock outperforms market on strong trading day,https://www.marketwatch.com/story/aflac-inc-stock-outperforms-market-on-strong-trading-day-01636752899-aa3d0d5c0d42?mod=mw_quote_news
AFL,  AFLAC Inc. stock underperforms Thursday when compared to competitors despite daily gains,https://www.marketwatch.com/story/aflac-inc-stock-underperforms-thursday-when-compared-to-competitors-despite-daily-gains-01636666501-f8b7f0301617?mod=mw_quote_news
AFL,"  AFLAC Inc. stock falls Wednesday, still outperforms market",https://www.marketwatch.com/story/aflac-inc-stock-falls-wednesday-still-outperforms-market-01636580094-f3116942e371?mod=mw_quote_news
AFL,  AFLAC Inc. stock underperforms Tuesday when compared to competitors,https://www.marketwatch.com/story/aflac-inc-stock-underperforms-tuesday-when-compared-to-competitors-01636493702-95478391d031?mod=mw_quote_news
AFL,"  AFLAC Inc. stock remains steady Monday, underperforms market",https://www.marketwatch.com/story/aflac-inc-stock-falls-monday-underperforms-market-01636403719-baabcf638146-779d7f296b9d?mod=mw_quote_news
APD,  5 takeaways from the COP26 climate summit investors need to know,https://www.marketwatch.com/story/5-takeaways-from-the-cop-climate-summit-investors-need-to-know-11636833753?mod=mw_quote_news
APD,"  Disney, AMC, Coinbase, Airbnb, BioNTech, and Other Stocks for Investors to Watch This Week",https://www.marketwatch.com/articles/disney-amc-coinbase-airbnb-biontech-and-other-stocks-for-investors-to-watch-this-week-51628449233?mod=mw_quote_news
APD,  Apple Has Been Quietly Building a Digital Ad Business. Here Are the Numbers.,https://www.marketwatch.com/articles/apple-advertising-business-51628283887?mod=mw_quote_news
APD,"  Premarket Movers: Air Products & Chemicals, Targa Resources, DocuSign",https://www.marketwatch.com/articles/premarket-movers-air-products-chemicals-targa-resources-docusign-01622806215?mod=mw_quote_news
ALK,  Alaska Air Group Inc. stock underperforms Friday when compared to competitors,https://www.marketwatch.com/story/alaska-air-group-inc-stock-underperforms-friday-when-compared-to-competitors-01636752916-2712f0ce01ff?mod=mw_quote_news
ALK,"  Alaska Air Group Inc. stock falls Thursday, underperforms market",https://www.marketwatch.com/story/alaska-air-group-inc-stock-falls-thursday-underperforms-market-01636666508-4d6d4f2d4815?mod=mw_quote_news
ALK,  Alaska Air Group Inc. stock outperforms competitors despite losses on the day,https://www.marketwatch.com/story/alaska-air-group-inc-stock-outperforms-competitors-despite-losses-on-the-day-01636580109-427e3d7c744b?mod=mw_quote_news
ALK,"  U.S. airlines and Amazon Air form alliance to ramp up sustainable fuels, but supply lacks",https://www.marketwatch.com/story/u-s-airlines-and-amazon-air-form-alliance-to-ramp-up-supply-of-sustainable-fuels-11636558786?mod=mw_quote_news
ALK,  Alaska Air Group Inc. stock outperforms competitors despite losses on the day,https://www.marketwatch.com/story/alaska-air-group-inc-stock-outperforms-competitors-despite-losses-on-the-day-01636493711-a7ab2b9a083b?mod=mw_quote_news
ARE,  Alexandria Real Estate Equities Inc. stock underperforms Friday when compared to competitors,https://www.marketwatch.com/story/alexandria-real-estate-equities-inc-stock-underperforms-friday-when-compared-to-competitors-01636753079-1357bcabc05c?mod=mw_quote_news
ARE,  Alexandria Real Estate Equities Inc. stock underperforms Thursday when compared to competitors despite daily gains,https://www.marketwatch.com/story/alexandria-real-estate-equities-inc-stock-underperforms-thursday-when-compared-to-competitors-despite-daily-gains-01636666680-3bb80513a99d?mod=mw_quote_news
ARE,  Alexandria Real Estate Equities Inc. stock outperforms market despite losses on the day,https://www.marketwatch.com/story/alexandria-real-estate-equities-inc-stock-outperforms-market-despite-losses-on-the-day-01636580284-febd279c02b1?mod=mw_quote_news
ARE,  Alexandria Real Estate Equities Inc. stock outperforms competitors on strong trading day,https://www.marketwatch.com/story/alexandria-real-estate-equities-inc-stock-outperforms-competitors-on-strong-trading-day-01636493883-5aa394f7dbb8?mod=mw_quote_news
ARE,  Alexandria Real Estate Equities Inc. stock underperforms Monday when compared to competitors despite daily gains,https://www.marketwatch.com/story/alexandria-real-estate-equities-inc-stock-underperforms-monday-when-compared-to-competitors-despite-daily-gains-01636407483-8d38fa1a3b0d?mod=mw_quote_news
